Date,Price,Open,High,Low,Vol,Change
04/09/2024,69146.0,71620.0,71758.19,68210.0,3.929.390.242,0
04/10/2024,70631.08,69146.0,71172.08,67518.0,4.200.602.377,0
04/11/2024,70006.23,70631.08,71305.89,69567.21,3.191.725.595,0
04/12/2024,67116.52,70006.22,71227.46,65086.86,5.607.286.229,0
04/13/2024,63924.51,67116.52,67929.0,60660.57,7.139.522.019,0
04/14/2024,65661.84,63924.52,65840.0,62134.0,6.159.917.818,0
04/15/2024,63419.99,65661.85,66867.07,62274.4,5.238.953.069,0
04/16/2024,63793.39,63419.99,64365.0,61600.0,5.343.529.331,0
04/17/2024,61277.37,63793.4,64499.0,59678.16,5.061.054.509,0
04/18/2024,63470.08,61277.38,64117.09,60803.35,4.360.160.918,0
04/19/2024,63818.01,63470.09,65450.0,59600.01,6.977.430.271,0
04/20/2024,64940.59,63818.01,65419.0,63090.07,2.313.742.975,0
04/21/2024,64941.15,64940.58,65695.56,64237.5,1.931.642.152,0
04/22/2024,66819.32,64941.15,67232.35,64500.0,3.139.799.371,0
04/23/2024,66414.0,66819.32,67183.01,65765.81,2.259.990.004,0
04/24/2024,64289.59,66414.0,67070.43,63606.06,3.359.569.637,0
04/25/2024,64498.34,64289.58,65297.94,62794.0,3.134.146.338,0
04/26/2024,63770.01,64498.33,64820.01,63297.48,2.708.519.346,0
04/27/2024,63461.98,63770.0,63923.41,62391.24,2.093.306.052,0
04/28/2024,63118.62,63461.98,64370.0,62781.0,1.694.920.005,0
04/29/2024,63866.0,63118.62,64228.35,61765.53,2.815.022.947,0
04/30/2024,60672.0,63866.0,64734.0,59191.6,5.494.765.535,0
05/01/2024,58364.97,60672.01,60841.63,56552.82,8.116.646.823,0
05/02/2024,59060.61,58364.97,59625.0,56911.84,4.758.381.961,0
05/03/2024,62882.01,59060.6,63333.0,58811.32,4.362.840.143,0
05/04/2024,63892.04,62882.01,64540.0,62541.03,2.436.869.282,0
05/05/2024,64012.0,63892.03,64646.0,62822.17,1.852.675.029,0
05/06/2024,63165.19,64012.0,65500.0,62700.0,3.467.491.949,0
05/07/2024,62312.08,63165.18,64422.41,62261.0,2.559.879.472,0
05/08/2024,61193.03,62312.07,63020.22,60888.0,2.612.119.004,0
05/09/2024,63074.01,61193.03,63429.03,60630.0,306.608.061,0
05/10/2024,60799.99,63074.0,63469.13,60187.12,3.652.934.025,0
05/11/2024,60825.99,60799.99,61515.0,60487.09,1.337.456.936,0
05/12/2024,61483.99,60825.99,61888.0,60610.0,1.275.313.236,0
05/13/2024,62940.08,61484.0,63450.0,60749.21,3.273.341.839,0
05/14/2024,61577.49,62940.09,63118.36,61142.77,2.908.872.041,0
05/15/2024,66206.5,61577.49,66444.16,61319.47,4.355.974.719,0
05/16/2024,65235.21,66206.51,66752.01,64602.77,311.063.671,0
